City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,shibirghan,36.6676,65.7529,41.35,10,2.53,0,AF,1691066218
178,kerikeri,-35.2268,173.9474,6.62,89,1.77,7,NZ,1691066218
179,alice springs,-23.7,133.8833,17.75,45,0.51,40,AU,1691066219
180,pakuranga,-36.8833,174.9167,10.93,79,3.09,0,NZ,1691066219
181,kavieng,-2.5744,150.7967,27.03,78,1.36,100,PG,1691066220
182,medina,24.4686,39.6142,44.24,5,3.09,0,SA,1691066123
183,malpica,43.3228,-8.8105,21.87,74,5.64,30,ES,1691066220
184,san patricio,28.017,-97.5169,28.91,76,1.73,11,US,1691066220
185,tura,25.5198,90.2201,24.82,96,2.26,100,IN,1691066221
186,tadine,-21.55,167.8833,19.53,79,10.71,100,NC,1691066221
187,sungai penuh,-2.0833,101.3833,19.57,99,0.32,95,ID,1691066009
188,sisimiut,66.9395,-53.6735,7.56,78,1.35,100,GL,1691066221
189,jamestown,42.097,-79.2353,21.42,73,1.34,9,US,1691066222
190,shimoda,34.6667,138.95,27.28,90,4.45,26,JP,1691066222
191,talcahuano,-36.7167,-73.1167,3.82,75,3.09,0,CL,1691066222
192,tadjourah,12.0,42.5,37.79,25,5.3,94,DJ,1691066223
193,kakata,6.53,-10.3517,26.49,85,2.78,97,LR,1691065937
194,belmonte,-15.8631,-38.8828,24.85,61,1.56,0,BR,1691066223
195,laminusa,5.5549,120.9136,28.74,78,2.56,5,PH,1691066224
196,bissau,11.8636,-15.5977,29.06,79,1.54,75,GW,1691066224
197,isla del bosque,22.7333,-105.85,26.09,91,2.94,17,MX,1691066224
198,port victoria,0.0939,33.9756,23.6,60,4.14,88,KE,1691066225
199,loa janan,-0.583,117.095,23.57,91,1.41,11,ID,1691066225
200,saki,8.6667,3.3833,25.17,79,3.43,99,NG,1691066225
201,tarko-sale,64.9225,77.785,29.87,32,5.06,0,RU,1691066226
202,yoloten,37.2989,62.3597,40.35,6,10.31,0,TM,1691066227
203,san antonio de pale,-1.4014,5.6325,22.26,75,1.73,3,GQ,1691066228
204,kolonia town,6.964,158.206,26.0,94,1.54,40,FM,1691066228
205,colonia,50.9333,6.95,22.76,67,9.77,75,DE,1691065994
206,nuuk,64.1835,-51.7216,9.34,87,3.6,75,GL,1691066228
207,kidal,18.4411,1.4078,40.04,23,6.5,98,ML,1691066229
208,hobyo,5.3505,48.5268,27.28,69,13.98,100,SO,1691066229
209,bratske,47.865,31.5731,31.65,28,2.99,0,UA,1691066229
210,monterrey,25.6667,-100.3167,24.37,77,0.52,13,MX,1691066230
211,ngorongoro,-3.2397,35.4875,14.34,59,3.47,94,TZ,1691066230
212,ust-nera,64.5667,143.2,12.79,55,2.16,1,RU,1691066230
213,fale old settlement,-9.3852,-171.2468,28.15,75,6.36,79,TK,1691066231
214,gonabad,34.3529,58.6837,35.68,6,9.04,0,IR,1691066232
215,el calafate,-50.3408,-72.2768,2.41,92,7.09,53,AR,1691066232
216,yorkton,51.2167,-102.4677,10.91,93,0.0,0,CA,1691066233
217,isafjordur,66.0755,-23.124,11.02,71,2.06,100,IS,1691066233
218,jinghong,21.991,100.7341,23.93,99,0.42,100,CN,1691066233
219,mondlo,-27.983,30.7177,19.52,18,3.99,0,ZA,1691066233
220,callao,-12.0667,-77.15,20.4,73,3.6,100,PE,1691066233
221,rechytsa,52.3617,30.3916,23.06,44,3.75,4,BY,1691066234
222,huanan,46.2167,130.5167,17.67,96,4.25,100,CN,1691066234
223,natal,-5.795,-35.2094,25.36,100,5.66,75,BR,1691066234
224,alaghsas,17.0187,8.0168,36.94,44,5.14,46,NE,1691066234
225,hithadhoo,-0.6,73.0833,28.18,71,3.06,98,MV,1691066235
226,severo-yeniseyskiy,60.3725,93.0408,19.7,61,1.15,62,RU,1691066235
227,malabar,-33.9667,151.25,15.42,79,3.83,0,AU,1691066236
228,sitka,57.0531,-135.33,13.94,88,0.0,40,US,1691066236
229,east london,-33.0153,27.9116,29.52,18,2.57,0,ZA,1691066236
230,coquimbo,-29.9533,-71.3436,13.85,94,1.03,100,CL,1691066237
231,'ali sabieh,11.1558,42.7125,41.07,25,6.13,27,DJ,1691066237
232,tot'ma,59.9747,42.7642,26.76,43,0.84,42,RU,1691066238
233,san felipe,10.3399,-68.7425,28.93,59,0.88,5,VE,1691066238
234,tsengel,49.4783,100.8894,16.3,82,1.37,72,MN,1691066238
235,remire-montjoly,4.9167,-52.2667,29.02,79,3.09,75,GF,1691066238
236,nelson bay,-32.7167,152.15,15.05,84,4.02,0,AU,1691066067
237,kroya,-7.6331,109.2461,23.93,87,2.55,25,ID,1691066239
238,haymana,39.4321,32.4973,31.38,15,4.96,0,TR,1691066240
239,avarua,-21.2078,-159.775,23.03,100,3.09,100,CK,1691066240
240,aasiaat,68.7098,-52.8699,1.42,93,2.96,100,GL,1691066240
241,afif,23.9065,42.9172,41.64,7,5.57,3,SA,1691066241
242,funafuti,-8.5243,179.1942,29.0,89,3.09,40,TV,1691066241
243,happy valley-goose bay,53.3168,-60.3315,15.17,82,3.09,75,CA,1691066241
244,tarfaya,27.9358,-12.9218,22.29,85,7.2,28,MA,1691066241
245,porto murtinho,-21.6989,-57.8825,31.27,24,1.96,0,BR,1691066242
246,melfort,52.8667,-104.6177,13.07,82,2.57,2,CA,1691066242
247,port alfred,-33.5906,26.891,24.75,39,5.17,4,ZA,1691066242
248,maloye ganyushkino,46.6,49.2667,33.17,26,2.98,100,KZ,1691066243
249,muroto-misakicho,33.2833,134.15,27.95,81,3.02,59,JP,1691066091
250,st. john's,47.5649,-52.7093,20.71,75,5.14,75,CA,1691066243
251,daru,-9.0763,143.2092,24.93,80,8.61,98,PG,1691066243
252,howrah,22.5892,88.3103,31.0,79,5.14,40,IN,1691066211
253,reggane,26.7158,0.1714,47.9,5,5.08,2,DZ,1691066244
254,apaxtla de castrejon,18.15,-99.8667,17.24,94,0.85,100,MX,1691066244
255,kapa'a,22.0752,-159.319,27.18,83,6.17,40,US,1691066245
256,shakawe,-18.3667,21.85,27.2,20,3.31,2,BW,1691066245
257,punta arenas,-53.15,-70.9167,4.12,92,12.72,99,CL,1691066245
258,alofi,-19.0595,-169.9187,19.94,94,6.17,100,NU,1691066246
259,inirida,3.8653,-67.9239,25.73,86,0.27,89,CO,1691066246
260,weno,7.4515,151.8468,28.04,77,1.71,3,FM,1691066247
261,general villegas,-35.0328,-63.0125,9.41,49,4.27,5,AR,1691066247
262,tokmok,42.8417,75.3016,34.63,13,2.85,0,KG,1691066247
263,kapuskasing,49.4169,-82.4331,15.05,94,3.09,40,CA,1691066247
264,wailua homesteads,22.0669,-159.378,26.44,83,6.17,40,US,1691066248
265,puerto maldonado,-12.6,-69.1833,22.22,88,0.0,0,PE,1691066248
266,lichinga,-13.3128,35.2406,19.05,82,6.17,75,MZ,1691066248
267,longyearbyen,78.2186,15.6401,12.91,71,1.54,0,SJ,1691066249
268,puerto la cruz,10.2167,-64.6167,27.72,71,1.22,100,VE,1691066249
269,portland,45.5234,-122.6762,17.02,86,0.19,1,US,1691066249
270,batticaloa,7.7102,81.6924,29.74,70,1.19,18,LK,1691066065
271,dunedin,-45.8742,170.5036,6.56,88,2.81,0,NZ,1691066207
272,malango,-2.9627,119.9001,19.48,96,0.82,7,ID,1691066250
273,taltal,-25.4,-70.4833,16.36,77,1.11,42,CL,1691066250
274,porto novo,6.4965,2.6036,28.9,71,4.04,100,BJ,1691066063
275,katsuura,35.1333,140.3,26.77,88,6.09,69,JP,1691066138
276,kinkala,-4.3614,14.7644,34.04,28,2.75,8,CG,1691066251
277,motueka,-41.1333,173.0167,5.05,84,1.59,0,NZ,1691066252
278,al hindiyah,32.5433,44.2225,44.55,6,9.36,0,IQ,1691066252
279,broken hill,-31.95,141.4333,15.83,45,5.64,0,AU,1691066076
280,north bend,43.4065,-124.2243,15.95,94,3.09,100,US,1691066252
281,kapit,2.0167,112.9333,26.21,86,1.43,100,MY,1691066252
282,tralee,52.2704,-9.7026,17.14,72,5.66,75,IE,1691066253
283,tamanrasset,22.785,5.5228,35.95,15,5.14,20,DZ,1691066253
284,ponta delgada,37.7333,-25.6667,25.4,78,6.17,20,PT,1691066175
285,boende,-0.2167,20.8667,26.58,73,1.43,100,CD,1691066254
286,clifton,40.8584,-74.1638,23.13,67,2.57,0,US,1691066254
287,arraial do cabo,-22.9661,-42.0278,21.92,73,5.14,0,BR,1691066254
288,kone,-21.0595,164.8658,17.85,89,1.76,100,NC,1691066255
289,zadar,44.1197,15.2422,31.34,55,8.23,20,HR,1691066255
290,capinopolis,-18.6819,-49.5697,26.22,29,2.87,0,BR,1691066255
291,shanwei,22.782,115.3475,29.81,81,5.49,17,CN,1691066255
292,dudinka,69.4058,86.1778,19.36,45,7.7,12,RU,1691066256
293,tabou,4.423,-7.3528,26.06,77,4.84,91,CI,1691066256
294,napanee,44.2501,-76.9494,20.91,81,5.44,74,CA,1691066257
295,iranshahr,27.2025,60.6848,45.19,11,4.12,20,IR,1691066258
296,peniche,39.3558,-9.3811,24.6,64,10.28,0,PT,1691066258
297,yangambi,0.8102,24.4336,31.2,50,1.55,71,CD,1691066258
